name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
Holding the Man;2015;Pas disponible;127;['Biography', 'Drama', 'Romance'];7.4;0;The warm, funny and achingly sad story of the 15-year-long love affair between Timothy Conigrave and the boy he fell in love with at high school, John Caleo.;['Neil Armfield'];['Ryan Corr', 'Sarah Snook', 'Francesco Ferdinandi', 'Craig Stott']
Avant toi;2016;Tous publics;106;['Drama', 'Romance'];7.4;51;A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.;['Thea Sharrock'];['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance']
The Garden of Words;2013;Pas disponible;46;['Animation', 'Drama', 'Romance'];7.4;0;A 15-year-old boy and 27-year-old woman find an unlikely friendship one rainy day in the Shinjuku Gyoen National Garden.;['Makoto Shinkai'];['Miyu Irino', 'Kana Hanazawa', 'Fumi Hirano', 'Gou Maeda']
Frances Ha;2012;Tous publics;86;['Comedy', 'Drama', 'Romance'];7.4;82;A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.;['Noah Baumbach'];['Greta Gerwig', 'Mickey Sumner', 'Adam Driver', 'Michael Zegen']
De rouille et d'os;2012;Tous publics;120;['Drama', 'Romance'];7.4;73;Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.;['Jacques Audiard'];['Marion Cotillard', 'Matthias Schoenaerts', 'Armand Verdure', 'Céline Sallette']
New York Melody;2013;Tous publics;104;['Comedy', 'Drama', 'Music'];7.4;62;A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.;['John Carney'];['Keira Knightley', 'Mark Ruffalo', 'Adam Levine', 'Hailee Steinfeld']
Crazy, Stupid, Love;2011;Tous publics;118;['Comedy', 'Drama', 'Romance'];7.4;68;A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.;[' Glenn Ficarra', 'John Requa'];['Steve Carell', 'Ryan Gosling', 'Julianne Moore', 'Emma Stone']
Guzaarish;2010;Pas disponible;126;['Drama', 'Romance'];7.4;0;Ethan, a magician rendered paralyzed in an accident, sets off a furor when he makes a petition to the court to end his own life.;['Sanjay Leela Bhansali'];['Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Shernaz Patel', 'Aditya Roy Kapoor']
J'ai tue ma mere;2009;Tous publics;96;['Drama', 'Romance'];7.4;77;A semi-autobiographical story about Hubert as a young homosexual at odds with his mother.;['Xavier Dolan'];['Anne Dorval', 'Xavier Dolan', 'François Arnaud', 'Suzanne Clément']
In the Air;2009;Tous publics;109;['Comedy', 'Drama', 'Romance'];7.4;83;Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model.;['Jason Reitman'];['George Clooney', 'Vera Farmiga', 'Anna Kendrick', 'Jason Bateman']
